Depdelay,Airline,Origin,Deptime,Airtime,Distance,Carrier,Weather,Lateaircraft
1,AA,IL,12,98,733,0,0,1
0,AA,IL,12,113,733,0,0,0
0,AA,IL,12,122,733,0,0,0
0,AA,IL,12,126,733,0,0,0
0,AA,IL,12,105,733,0,0,0
0,AA,IL,12,93,733,0,0,0
1,AA,IL,12,102,733,0,0,0
1,AA,IL,13,97,733,1,0,0
0,AA,IL,12,101,733,0,0,0
1,AA,IL,12,92,733,0,0,0
1,AA,IL,13,100,733,1,0,0
0,AA,IL,12,98,733,0,0,0
1,AA,IL,13,107,733,0,0,0
1,AA,IL,12,103,733,1,0,1
1,AA,IL,12,93,733,0,0,0
1,AA,IL,15,128,733,1,0,0
1,AA,IL,12,110,733,1,0,0
1,AA,IL,12,105,733,0,0,1
1,AA,IL,13,102,733,1,0,1
1,AA,IL,13,104,733,0,0,1
1,AA,IL,13,99,733,1,0,1
1,AA,IL,12,,733,0,0,0
1,AA,IL,13,101,733,0,0,1
0,AA,IL,12,96,733,0,0,0
1,AA,IL,13,97,733,1,0,1
0,AA,IL,8,255,2072,0,0,0
0,AA,IL,8,250,2072,0,0,0
1,AA,IL,8,259,2072,0,0,0
0,AA,IL,8,262,2072,0,0,0
0,AA,IL,8,258,2072,0,0,0
0,AA,IL,8,255,2072,0,0,0
0,AA,IL,8,257,2072,0,0,0
0,AA,IL,8,261,2072,0,0,0
0,AA,IL,8,263,2072,0,0,0
1,AA,IL,8,280,2072,1,0,0
1,AA,IL,8,266,2072,1,0,0
0,AA,IL,8,260,2072,0,0,0
0,AA,IL,8,260,2072,0,0,0
0,AA,IL,8,263,2072,0,0,0
1,AA,IL,9,252,2072,1,0,1
0,AA,IL,8,256,2072,0,0,0
1,AA,IL,9,265,2072,1,0,0
0,AA,IL,8,263,2072,0,0,0
0,AA,IL,8,274,2072,0,0,0
0,AA,IL,8,263,2072,0,0,0
1,AA,IL,8,258,2072,0,0,0
0,AA,IL,8,266,2072,0,0,0
0,AA,IL,8,257,2072,0,0,0
0,AA,IL,8,263,2072,0,0,0
